Store Name,City,Zip Code,County,Category Name,Vendor Name,Item Description
C B LIQUOR,SPIRIT LAKE,50583,DECATUR,JAMAICA RUM,"RUSSIAN STANDARD VODKA, USA",JOSE CUERVO ESPECIAL SILVER
HY-VEE FOOD STORE / CENTERVILLE,OSAGE,50265,BENTON,BARBADOS RUM,SERRALLES USA,TWO FINGERS GOLD TEQUILA
FAREWAY STORES #841 / RED OAK,WINTERSET,52172,ADAIR,AMERICAN SLOE GINS,GUNSANDMORE.INFO,PARAMOUNT WHITE RUM
SIOUX FOOD CENTER OF SIOUX RAPIDS,DENISON,52241,CLAY,RASPBERRY SCHNAPPS,"M.S. WALKER, INC.",ADMIRAL NELSON CHERRY SPICED RUM
GRUNDY CENTER FAMILY FOODS,DAVENPORT,52314,MAHASKA,LOW PROOF VODKA,JESSE JAMES DISTILLING COMPANY,JOHNNY DRUM PRIVATE STOCK KSBW HA
HY-VEE  /  JEFFERSON,EAGLE GROVE,50211,IDA,GRAPE SCHNAPPS,LUXCO-CLEVELAND,CODY ROAD BOURBON
NAT FOOD MART #1 / HUBBELL,DECORAH,51250,JACKSON,ROCK & RYE,3 BADGE MIXOLOGY,MAKER'S MARK
SELECT MART    GORDON DR,WEBSTER CITY,50321,MILLS,PEACH BRANDIES,"OLE SMOKY DISTILLERY, LLC",COINTREAU LIQUEUR
HY-VEE FOOD STORE / DUBUQUE,SUTHERLAND,51360,MARSHALL,,LOUISVILLE DISTILLING CO,BAILEY'S ORIGINAL IRISH CREAM
PLEASANTVILLE GROCERY,CLARINDA,50320,CASS,CREME DE ALMOND,FIRESTARTER SPIRITS INC.,PATRON ANEJO
SYCAMORE CONVENIENCE,CORNING,52002,BOONE,ANISETTE,ROGUE ALES AND SPIRITS,HAWKEYE VODKA
WAL-MART 1526 / STORM LAKE,DYERSVILLE,50461,HARDIN,SPEARMINT SCHNAPPS,"KLIN SPIRITS, LLC",PARAMOUNT BLACKBERRY BRANDY
HY-VEE WINE AND SPIRITS / WATERLOO,AUDUBON,50273,VAN BUREN,MISCELLANEOUS  BRANDIES,BRECKENRIDGE DISTILLERY,KESSLER BLEND WHISKEY
NORTHSIDE ONE STOP / HAMPTON,CLIVE,51442,JONES,WHITE CREME DE MENTHE,HOMESTEAD AMERICAN WHISKEY,SMIRNOFF VODKA 80 PRF MINI
CHEESE'S FOOD CENTER,ROCKWELL CITY,52302,WINNEBAGO,HIGH PROOF BEER - AMERICAN,VISION WINE AND SPIRITS,BACARDI SUPERIOR RUM MINI
KARL'S GROCERY STORE,COLFAX,52806,POWESHIEK,AMARETTO - IMPORTED,PROST BEVERAGE COMPANY,ABSOLUT RUBY RED
HY-VEE DRUGSTORE / COUNCIL BLUFFS,WINDSOR HEIGHTS,50533,KOSSUTH,JAPANESE WHISKY,"WHYTE AND MACHAY(AMERICAS) LIMITED,L",ANCIENT AGE BOURBON
JOHN'S GROCERY,EMMETSBURG,52101,WAYNE,CORN WHISKIES,PANTHER DISTILLERY,NEW AMSTERDAM GIN
SAC LIQUOR STORE,OTTUWMA,50595,HUMBOLDT,IMPORTED VODKA - CHERRY,SEASHORE MARKETING GROUP,E & J VS
"FAST MART 2, LLC",WASHINGTON,51058,DALLAS,AMERICAN VODKAS,QUADRO GROUP LLC,TEQUILA ROSE LIQUEUR MINI
HY-VEE FOOD STORE #2 / CEDAR RAPIDS,OELWEIN,52403,MUSCATINE,WHITE RUM,DEHNER DISTILLERY,KINKY LIQUEUR
KUM & GO #520 / CEDAR RAPIDS,PLEASANT HILL,51632,LYON,AMERICAN SCHNAPPS,TRINCHERO FAMILY ESTATES,GREY GOOSE VODKA
"DOUBLE ""D"" LIQUOR STORE",MILFORD,52807,FLOYD,GOLD RUM,LEVECKE CORP,NEW AMSTERDAM VODKA
BOOTLEGGIN' BARZINI'S FIN,CHEROKEE,52405,HOWARD,COCKTAILS/RTD,STERN BEVERAGE,TEN HIGH TRAVELER
WILKIE LIQUORS,LAMONI,52040,TAMA,AMERICAN BRANDIES,"PALM BAY IMPORTS, INC.",UV RUBY RED GRAPEFRUIT
WALGREENS #05077 / IOWA CITY,VINTON,50025,LOUISA,IMPORTED BRANDIES,"ASDSPIRITS, LLC",EVAN WILLIAMS YR STR BOURBON
SCOTT'S FOODS,PELLA,50322,GUTHRIE,AMERICAN FLAVORED VODKA,"TY KU, LLC",JOSE CUERVO AUTHENTIC LIME MARGARITA
WAL-MART 1152 / SIOUX CENTER,STUART,52401,SHELBY,AMERICAN CORDIALS & LIQUEURS,BLAUM BROS. DISTILLING CO.,ARROW CREME DE MENTHE GREEN
CASH SAVER  /  FLEUR,SPENCER,50579,MONONA,IMPORTED FLAVORED VODKA,"SPEAKEASY SPIRITS, LLC",CHIVAS REGAL 12 YR
HY-VEE WINE AND SPIRITS / SPIRIT LAK,URBANDALE,50054,CEDAR,MIXTO TEQUILA,FRANK-LIN DISTILLERS PRODUCTS LTD.,CROWN ROYAL CANADIAN WHISKY
WAL-MART 1621 / CENTERVILLE,IDA GROVE,50311,HARRISON,100% AGAVE TEQUILA,BETTER BRANDS BEV CO,BACARDI SELECT RUM
HY-VEE #3 / BDI / DES MOINES,ANTHON,50536,OSCEOLA,FLAVORED GIN,COOPER'S CHASE DISTILLERY,BOOKER'S 6YR
HARTIG DRUG CO. / JFK RD / DUBUQUE,MT PLEASANT,52353,CLARKE,IMPORTED CORDIALS & LIQUEURS,ANCHOR DISTILLING (PREISS IMPORTS),SEAGRAMS LIME TWISTED GIN
OSAGE PAYLESS FOODS,MAQUOKETA,52804,CHICKASAW,NEUTRAL GRAIN SPIRITS,KOBRAND CORPORATION,OLD CROW
CASEY'S GENERAL STORE #1706 / WINTER,GLENWOOD,50662,KEOKUK,MEZCAL,THE WINE GROUP,BURNETT'S GIN LONDON DRY
HY-VEE WINE AND SPIRITS / DENISON,EVANSDALE,52803,ADAMS,AGED DARK RUM,COOPERSPIRITSINTERNATIONAL,KAMORA COFFEE LIQUEUR
HY-VEE FOOD STORE / MARION,MARSHALLTOWN,50327,HANCOCK,SPECIAL ORDER ITEMS,AIKO IMPORTERS INC,WILD TURKEY 101
RINA MART LLC / DAVENPORT,WEST UNION,51104,MONROE,SCHNAPPS - IMPORTED,PARADISE DISTILLING COMPANY,BACARDI PARTY DRINKS RUM ISLAND ICED TEA
"JENSEN LIQUORS, LTD.",ANITA,51351,EMMET,TEMPORARY & SPECIALTY PACKAGES,HONEY CREEK DISTILLERY,UV VODKA
GENO'S LIQUOR,BUFFALO,51012,POCAHONTAS,IMPORTED DISTILLED SPIRITS SPECIALTY,"A HARDY / U.S.A., LTD.",JACK DANIELS OLD #7 BLACK LBL SQUARE
JR'S ON THE ROCKS,BOONE,50324,BUTLER,AMERICAN DISTILLED SPIRITS SPECIALTY,AMERICAN VINTAGE BEVERAGE,PARAMOUNT STRAWBERRY SCHNAPPS
AL'S LIQUORS UNLIMITED,IOWA FALLS,50140,JEFFERSON,NEUTRAL GRAIN SPIRITS FLAVORED,DRINKS AMERICAS,E & J VS BRANDY
BOTTLE BOUTIQUE,KEOSAUQUA,52349,RINGGOLD,IOWA DISTILLERY WHISKIES,SQUARE ONE ORGANIC SPIRITS,SMIRNOFF RASPBERRY
LENA'S LIQUORS,ANAMOSA,50219,,IOWA DISTILLERIES,"WHITE ROCK DISTILLERIES, INC.",HPNOTIQ SPARKLE
WAL-MART 3150 / COUNCIL BLUFFS,FOREST CITY,50266,DAVIS,IMPORTED GINS,NATIONAL BROKERS,JOSE CUERVO ESPECIAL REPOSADO TEQUILA
CAR-GO-EXPRESS / SUTHERLAND,MONTICELLO,52411,FREMONT,DELISTED ITEMS,PARK STREET IMPORTS-DUKE SPIRITS,BACARDI GOLD RUM
HY-VEE FOOD AND DRUG #6 / CEDAR RAPI,HIAWATHA,50250,EL PASO,DELISTED / SPECIAL ORDER ITEMS,"CHATHAM IMPORTS,INC",PATRON TEQUILA SILVER
QUIK TRIP #531 / GRIMES,NORTH LIBERTY,51301,,IMPORTED WHISKIES,STE. MICHELLE WINE ESTATES,JOHNNIE WALKER RED
DING'S HONK AND HOLLER,GRINNELL,51445,,AMERICAN WHISKIES,LIQUOR GROUP WHOLESALE,DEKUYPER CHERRY PUCKER SCHNAPPS
NEIGHBORHOOD MART / WATERLOO,JOHNSTON,51004,,HOLIDAY VAP,PARK STREET IMPORTS-FEW SPIRITS,UV BLUE RASPBERRY VODKA MINI
HY-VEE #3 FOOD AND DRUGSTORE,BANCROFT,52060,,,BOSTON BEER COMPANY,DEKUYPER PEACHTREE
HY-VEE FOOD STORE / CORNING,ATLANTIC,51534,,,SURVILLE ENTERPRISES CORP,ARROW PEACH SCHNAPPS
WAL-MART 1361 / SIOUX CITY,SHENANDOAH,52245,,,SANTA FE TEQUILA COMPANY,CAPTAIN MORGAN SPICED RUM
SMOKIN' JOE'S #14 TOBACCO AND LIQUOR,NEVADA,50014,,,"INTERNATIONAL BEVERAGE CO., INC.",CAPTAIN MORGAN PRIVATE STOCK RUM
PAYLESS FOODS / DYERSVILLE,CORYDON,50707,,,PRAIRIE CREEK BEVERAGES LLC,DEKUYPER CHERRY PUCKER
KWIK STOP LIQUOR & GROCERIES AMES,ALTOONA,50158,,,PARK STREET IMPORTS-VEEV,BUSHMILLS IRISH WHISKEY
AUDUBON FOOD PRIDE,MONONA,52802,,,"EVATON, INC.",JACK DANIELS OLD #7 BLACK LBL
DAHL'S / HICKMAN,BALDWIN,50248,,,DOMAINE CHARBAY,COURVOISIER VSOP COGNAC
SMOKIN' JOE'S #3 TOBACCO AND LIQUOR,HUMBOLDT,52175,,,SAGE BEVERAGES,SVEDKA VODKA
UPTOWN LIQUOR AND TOBACCO,KEOKUK,50020,,,SWELL LIQUOR LLC,SMIRNOFF VODKA 100 PRF
BENZ DISTRIBUTING,FAYETTE,52728,,,PARK STREET IMPORTS- CABALLEROS,DEKUYPER HOT DAMN! 100 PROOF
JUBILEE FOODS / ROCKWELL CITY,WAUKEE,50036,,,"MADIKWE USA, INC.",JOSE CUERVO AUTHENTIC STRAWBERRY MARGARITA
SHUGAR'S SUPER VALU / COLFAX,LECLAIRE,50126,,,AMERICAN SPIRITS EXCHANGE,CIROC RED BERRY
FILL R UP,LISBON,52565,,,CVI BRANDS,PARAMOUNT GIN TRAVELER
SAM'S CLUB 6344 / WINDSOR HEIGHTS,PERRY,52205,,,MODERN SPIRITS,JOSE CUERVO GOLDEN MARGARITA
EMMETSBURG FOOD PRIDE,MUSCATINE,50436,,,BAD BEAR ENTERPRISES,NEW AMSTERDAM PEACH
OSAGE LIQUORS,ROCK RAPIDS,52310,,,MINHAS MICRO DISTILLERY,PEARL CUCUMBER VODKA
HY-VEE FOOD STORE #1 / OTTUMWA,CHARLES CITY,52233,,,PATRIARCH DISTILLERS,CROWN ROYAL XR CANADIAN WHISKEY
HY-VEE FOOD STORE #1 / COUNCIL BLUFF,MOUNT VERNON,52317,,,STANLEY STAWSKI DISTRIBUTING CO.,DEKUYPER HOT DAMN!
CENTRAL CITY 2,LAKE VIEW,50112,,,TOTAL BEVERAGE SOLUTIONS,JACK DANIELS OLD #7 BLACK LBL FLAT
HILLSTREET NEWS AND TOBACCO,CRESCO,50131,,,STEPHEN AUGUSTUS IMPORTS,GORDON'S GIN LONDON DRY
WAL-MART 1475 / WASHINGTON,TIFFIN,50517,,,PARK STREET IMPORTS-SWEET REVENGE,GRAND MARNIER CORDON ROUGE
WAL-MART 0892 / ANKENY,WILLIAMSBURG,50023,,,HIGH WEST DISTILLERY,RONRICO SILVER LABEL RUM (PR)
HY-VEE WINE AND SPIRITS #2,TOLEDO,50022,,,"WINEBOW, INC.",PARAMOUNT WHITE RUM TRAVELER
FAREWAY STORES #412 / OELWEIN,WILTON,51601,,,"SPIRIT IMPORTS, INC.",ABSOLUT CITRON (LEMON VODKA)
SMOKIN' JOE'S #17 TOBACCO AND LIQUOR,KNOXVILLE,50201,,,MARSALLE COMPANY,MCCORMICK BLEND WHISKEY
HY-VEE #3 / DUBUQUE,CRESTON,50060,,,"JINRO AMERICA, INC",JIM BEAM MINI
BRADY MART FOOD & LIQUOR,COLUMBUS JUNCTION,50009,,,ARTISAN GRAIN DISTILLERY,DEKUYPER WATERMELON PUCKER
HY-VEE WINE AND SPIRITS / CORALVILLE,HUXLEY,52159,,,CLEAR CREEK DISTILLERY,TWO JAY'S GRAPPA
FAREWAY STORES #138 / PLEASANT HILL,PANORA,50312,,,CASA 1921 LLC,BLACK VELVET TRAVELER
HY-VEE WINE AND SPIRITS #1,SCHLESWIG,52207,,,SWISS CELLARS,DESERT ISLAND LONG ISLAND ICE TEA COCKTAIL
HY-VEE FOOD STORE #4 / SIOUX CITY,HARLAN,51103,,,IMPEX BEVERAGES INC,ADMIRAL NELSON SPICED RUM TRAVELER
OKOBOJI AVENUE LIQUOR,INDEPENDENCE,51108,,,"DORADO, PIZZORNI & SONS, LLC",SEAGRAMS 7 CROWN BL WHISKEY
LIQUOR ON THE CORNER / CHEROKEE,BELLE PLAINE,50548,,,"HIGH WEST DISTILLERY, LLC",SEAGRAMS V.O. BL CANADIAN WHISKY
OSCO #881 / CLINTON,AVOCA,52632,,,LAPHAM IMPORT CO,BACARDI BLACK RAZZ
CASEY'S GENERAL STORE #2896 / ANKENY,RICEVILLE,50313,,,"STELLAR IMPORTING COMPANY, LLC",SOUTHERN COMFORT
CASEY'S GENERAL STORE #2766 / CEDAR,LAKE MILLS,52142,,,KOLOA RUM COMPANY,SALVADOR'S MARGARITA PET
QUIK TRIP #503 / WINDSOR HEIGHTS,DE SOTO,50263,,,MCCORMICK DISTILLING CO.,DEKUYPER TRIPLE SEC
WALGREENS #05044 / BURLINGTON,MONROE,52753,,,"BIAGIO CRU AND ESTATE WINES, LLC",FLEISCHMANN'S ROYAL VODKA 80 PRF
KUM & GO #4 / LAMONI,ACKLEY,52253,,,ANHEUSER-BUSCH/LONGTAIL LIBATIONS,JOSE CUERVO MANGO MARGARITA
FAREWAY STORES #008 / DYERSVILLE,RIVERSIDE,50220,,,PARK STREET IMPORTS-TANTEO,CALICO JACK SPICED
KUM & GO #422 / IOWA CITY,GREENFIELD,52761,,,BACMAR INTERNATIONAL,TOOTERS ALA BAMA SLAMA
KUM & GO #212 / WATERLOO,MAPLETON,51246,,,"PATERNO IMPORTS, LTD.",BLACK VELVET RESERVE
FAREWAY STORES #462 / VINTON,TIPTON,50616,,,"CARRIAGE HOUSE IMPORTS, LTD.",NIKOLAI VODKA
HY-VEE WINE AND SPIRITS / PELLA,HAWARDEN,50325,,,PACIFIC EDGE WINE & SPIRITS,KNOB CREEK SINGLE BARREL RESERVE
WAL-MART 3762 / WDM,MISSOURI VALLEY,51450,,,H A P LLC,DR. MCGILLICUDDY'S CHERRY SCHNAPPS
HY-VEE #7 / CEDAR RAPIDS,CENTER POINT,52136,,,DAKOTA SPIRITS DISTILLERY,PARAMOUNT TRIPLE SEC
HOMETOWN FOODS / STUART,BELMOND,52340,,,"DREYFUS, ASHBY CO.",ABSOLUT SWEDISH VODKA 80 PRF MINI
HY-VEE FOOD STORE / SPENCER,DURANT,52361,,,VITAL BEVERAGES,LA PRIMA TEQUILA/WHITE
NEW STAR / FORT DODGE,OAKLAND,52342,,,KOVAL DISTILLERY,99 CINNAMON MINI
URBAN LIQUOR,FAIRFAX,52778,,,BMC IMPORTS,FIREBALL CINNAMON WHISKEY
U S GAS,SIBLEY,50138,,,FIFTH GENERATION INC,SEAGRAMS V.O. BL CANADIAN WHISKY PET
HY-VEE FOOD STORE / OSKALOOSA,HOLSTEIN,52084,,,LUXCO INC,MIDNIGHT MOON BLUEBERRY
DISCOUNT LIQUORS OF IDA GROVE,ALGONA,50801,,,SAZERAC COMPANY  INC,HENNESSY VS COGNAC
SIOUX VALLEY SPIRITS,OSSIAN,52738,,,CONSTELLATION BRANDS INC,E & J VS BRANDY MINI
I-80 LIQUOR / COUNCIL BLUFFS,REMSEN,50124,,,INFINIUM SPIRITS,KRAKEN BLACK SPICED RUM
HY-VEE FOOD STORE / FLEUR / DSM,OSCEOLA,50216,,,LAIRD & COMPANY,PARAMOUNT PEPPERMINT SCHNAPPS
WAL-MART 0784 / MT PLEASAN,MONTEZUMA,51461,,,PERNOD RICARD USA,POWERS SIGNATURE
KICK THE CAN,NASHUA,51537,,,BROWN FORMAN CORP.,JAGERMEISTER LIQUEUR
QUILLINS FOOD RANCH / WAUKON,SIGOURNEY,50644,,,PRESTIGE WINE & SPIRITS GROUP,JOHNNIE WALKER BLACK
CELTICS BEVERAGE COMPANY,KINGSLEY,52004,,,BACARDI USA INC,SKOL VODKA
HARTIG DRUG COMPANY #8 / UNIVERSITY,ROCKWELL,52208,,,WILLIAM GRANT & SONS INC,CRUZAN BLACK CHERRY RUM
HY-VEE FOOD AND DRUG / CLINTON,ONAWA,51521,,,PHILLIPS BEVERAGE,1800 ULTIMATE MARGARITA
B AND C LIQUOR / MAQUOKETA,BROOKLYN,50466,,,SKYY SPIRITS INC,EVAN WILLIAMS STR BOURBON
WAL-MART 0753 / CEDAR FALL,CLARION,50450,,,PATRON SPIRITS COMPANY,REMY MARTIN 1738 ACCORD ROYAL
FAREWAY STORES #850 / SPIRIT LAKE,STATE CENTER,50316,,,E & J GALLO WINERY,ARROW PEPPERMINT SCHNAPPS MINI
